id,start_date,motion:name,motion:number,sources:link:url,motion:document,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present
23732,2010-11-30,"Návrh rozpočtového provizoria vlastního hl. m. Prahy na rok 2011, k dotačním vztahům k městským částem hl. m. Prahy na rok 2011 a ke vztahům hl.m. Prahy k příspěvkovým organizacím hl. m. Prahy na rok 2011 (usnesení k Z-944)",1/7,Z-944,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23732,1,pass,32,17,10,63,59
23745,2010-12-14,2. zasedání (složení návrhového výboru),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23745,2,pass,58,0,0,63,58
23746,2010-12-14,návrh na ukončení diskuse (Kabický) hlasování zpochybněno (ukončení diskuze),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23746,2,fail,27,14,4,63,45
23747,2010-12-14,o ukončení diskuse -  hlasování zmatečné (ukončení diskuze),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23747,2,fail,26,6,2,63,34
23748,2010-12-14,opakované hlasování (ukončení diskuze),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23748,2,pass,34,22,4,63,60
23749,2010-12-14,"zařazení tisku Z - 959 ""Návrh na volbu předsedy kontrolního výboru ZHMP"" (Tůma) hlasování zpochybněno (zařazení tisku na program)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23749,2,fail,31,5,26,63,62
23750,2010-12-14,"opakované hlasování k zařazení tisku Z - 959 ""K návrhu na volbu předsedy kontrolního výboru ZHMP""  na program jednání (zařazení tisku na program)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23750,2,fail,29,5,28,63,62
23751,2010-12-14,"zařazení bodu 2. - Dotazy, připomínky a podněty od občanů (schválení programu)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23751,2,pass,32,2,26,63,60
23752,2010-12-14,"zařazení bodu 3. -  Z - 956 ""Zrušení tendru na ""Celkovou přestavbu a rozšíření Ústřední čistírny odpadních vod (ÚČOV) Praha na Císařském ostrově"", za účelem posouzení možného využití nových technologií a výrazné finanční úspory při realizaci modernizace ÚČOV"" (schválení programu)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23752,2,fail,30,13,20,63,63
23753,2010-12-14,"zařazení bodu 4. - Z - 953 ""Návrh na úpravu zastupování Prahy v orgánech společností s majetkovou účastí hl.m. Prahy"" (schválení programu)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23753,2,fail,29,9,25,63,63
23754,2010-12-14,"zařazení bodu 5. - Z - 954 ""Návrh na zbavení mlčenlivosti pracovníků magistrátu, členů výborů a výběrových komisí v kauze OpenCard"" (schválení programu)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23754,2,fail,26,7,30,63,63
23755,2010-12-14,"zařazení bodu 6. - Z - 955 ""Jednací řád ZHMP - schválení pravidelného bodu - ""Dotazy, připomínky a podněty od občanů"" (schválení programu)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23755,2,fail,29,3,31,63,63
23756,2010-12-14,nedokončené - zmatečné (schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23756,2,fail,3,0,0,63,3
23757,2010-12-14,návrh programu jako celku (schválení programu),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=23757,2,fail,29,13,21,63,63
24332,2011-01-20,3. zasedání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24332,3,pass,60,0,0,63,60
24333,2011-01-20,pro toto zasedání - úprava Jednacího řádu ZHMP -  vystoupení občanů HMP,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24333,3,pass,61,0,0,63,61
24334,2011-01-20,"přejmenování bodu ""k návrhu personálních změn ve výborech ZHMP"" na ""Výbory ZHMP"" (TOP 09)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18284&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=24334,3,fail,28,2,27,63,57
