id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
16275,2004-01-29,"k oznámení záměru městské části Praha 5 na prodej věcí z vlastnictví hlavního města Prahy, svěřených (D)",,749,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16275,14,pass,48,1,6,70,55
16276,2004-01-29,"k oznámení záměru městské části Praha 5 na prodej věcí z vlastnictví hlavního města Prahy, svěřených (D)",,749,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16276,14,pass,46,1,9,70,56
16277,2004-01-29,"k oznámení záměru městské části Praha 5 na prodej věcí z vlastnictví hlavního města Prahy, svěřených (F)",,749,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16277,14,fail,34,29,3,70,66
16278,2004-01-29,"k návrhu na určení zástupců hl.m. Prahy na valných hromadách akciových společností, ve kterých má (F)",14/15,773,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16278,14,pass,55,0,6,70,61
16279,2004-01-29,"k návrhu na úplatný převod pozemků parc.č. 1817/9, 1817/14 a 1817/18 vše v k.ú. Vršovice o celkové (F)",14/16,636,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16279,14,pass,58,0,0,70,58
16280,2004-01-29,"k návrhu na úplatný převod pozemků parc. č. 1795/4, parc .č. 1795/5 a parc. č. 1795/26 o celkové vým (F)",14/17,756,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16280,14,pass,57,1,0,70,58
16281,2004-01-29,k návrhu na schválení úplatného převodu pozemků parc.č. 2141/6 a 2141/7 v kat. území Hloubětín z vla (F),14/18,715,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16281,14,pass,60,1,0,70,61
16282,2004-01-29,k návrhu na úplatný převod pozemků parc. č. 2128 o výměře 723 m2 a parc. č. 2129 o výměře 3.809 m2 v (F),14/19,694,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16282,14,pass,60,0,3,70,63
16283,2004-01-29,"k návrhu úplatného převodu části pozemků parc. č. 1254/37, 1254/40 a 3201/1 v k. ú. Krč z vlastnictv (F)",14/20,777,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16283,14,pass,63,0,0,70,63
16284,2004-01-29,k návrhu úplatného převodu pozemku parc. č. 911 k.ú. Běchovice o výměře 855 m2 z vlastnictví HMP do (F),14/21,742,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16284,14,pass,59,0,0,70,59
