id,name,group_id,election_type,state,district,cabecera,curul
60-386,Castellanos Cortés Sara Isabel,pvem,Representación proporcional,San Luis Potosí,2,,G-219
60-381,Aguilar Solís Samuel,pri,Representación proporcional,Durango,1,,L-441
60-380,Aguilar  Diego,pri,Representación proporcional,Sinaloa,1,,M-480
60-383,Canavati Tafich Jesús Ricardo,pri,Representación proporcional,Nuevo León,2,,K-395
60-382,Olivares Ventura Héctor Hugo,pri,Representación proporcional,Aguascalientes,2,,K-398
60-875,Rodríguez  Luis Alejandro,pvem,Representación proporcional,Jalisco,1,,F-181
60-395,Murat  José,pri,Representación proporcional,Oaxaca,3,,J-351
60-389,Martínez Rodríguez Lorena,pri,Representación proporcional,Aguascalientes,2,,J-355
60-388,Ramírez Cerda Ana María,pvem,Representación proporcional,Nuevo León,2,,F-178
60-871,Salgado Amador Manuel Salvador,pvem,Representación proporcional,Baja California Sur,1,,H-259
60-271,Pulido Pecero Pedro,pan,Mayoría Relativa,Veracruz,1,Panuco,L-424
60-270,Amaro Corona Alberto,prd,Mayoría Relativa,Tlaxcala,3,Zacatelco,J-365
60-273,Laviada Hernández Iñigo Antonio,pan,Mayoría Relativa,Veracruz,3,Tuxpan,I-290
60-272,Pinete Vargas María del Carmen,pri,Mayoría Relativa,Veracruz,2,Tantoyuca,P-506
60-275,Del Valle Toca Antonio,pan,Mayoría Relativa,Veracruz,5,Poza Rica de Hidalgo,M-473
60-274,Deschamps Falcón Ángel Rafael,pan,Mayoría Relativa,Veracruz,4,Veracruz,E-121
60-277,De la Torre Sánchez José,pan,Mayoría Relativa,Veracruz,7,Martínez de la Torre,L-422
60-276,Del Río Virgen José Manuel,conv,Mayoría Relativa,Veracruz,6,Papantla,E-145
60-279,Mota Hernández Adolfo,pri,Mayoría Relativa,Veracruz,9,Coatepec,G-224
60-278,Salas Contreras Marcos,pan,Mayoría Relativa,Veracruz,8,Xalapa,F-163
60-777,Martínez Díaz María de Jesús,pan,Mayoría Relativa,Veracruz,7,,L-422
60-7,Franco Cazarez Ricardo,pan,Mayoría Relativa,Baja California,4,Tijuana,I-298
60-378,Ríos Camarena Alfredo Adolfo,pri,Representación proporcional,Nayarit,1,,J-357
60-379,Aispuro Torres José Rosas,pri,Representación proporcional,Durango,1,,I-316
60-258,Álvarez Ramón Silbestre,prd,Mayoría Relativa,Tabasco,5,Paraíso,B-046
60-370,Barba Hernández Alfredo,pri,Representación proporcional,Jalisco,1,,F-186
60-371,Larregui Nagel Erika,pvem,Representación proporcional,Sinaloa,1,,I-304
60-372,Flores Sandoval Patricio,pri,Representación proporcional,Jalisco,1,,F-182
60-373,Arévalo González José Antonio,pvem,Representación proporcional,Durango,1,,G-222
60-374,Quiñones Canales Lourdes,pri,Representación proporcional,Durango,1,,J-356
60-375,Chozas y Chozas Olga Patricia,pvem,Representación proporcional,Durango,1,,F-181
60-376,Biebrich Torres Carlos Armando,pri,Representación proporcional,Sonora,1,,J-350
60-377,Rodríguez Ramírez Bertha Yolanda,pri,Representación proporcional,Jalisco,1,,L-440
60-78,Stefanonni Mazzocco Martín,pan,Mayoría Relativa,Guanajuato,2,San Miguel de Allende,B-036
60-79,Oviedo Oviedo Ernesto,pan,Mayoría Relativa,Guanajuato,3,León,G-216
60-392,Ortiz Proal Mauricio,pri,Representación proporcional,Querétaro,2,,L-433
60-972,Salinas Pérez Josefina,prd,Representación proporcional,México,5,,I-324
60-973,Barragán Vélez Juan Carlos,prd,Representación proporcional,Michoacán,5,,E-147
60-750,Sánchez Peñuelas Salvador,pri,Mayoría Relativa,Sonora,4,,J-348
60-70,Solares Chávez Miguel Ángel,prd,Mayoría Relativa,Distrito Federal,25,Iztapalapa,L-457
60-71,Gutiérrez Calzadilla José Luis,prd,Mayoría Relativa,Distrito Federal,26,Magdalena Contreras,K-410
60-72,Flores Salazar Guadalupe Socorro,prd,Mayoría Relativa,Distrito Federal,27,Tláhuac,K-408
60-73,Benítez Ojeda Luis Enrique,pri,Mayoría Relativa,Durango,1,Durango,I-313
60-74,Herrera Ale Juana Leticia,pri,Mayoría Relativa,Durango,2,Gómez Palacio,I-314
60-75,Escajeda Jiménez José Rubén,pri,Mayoría Relativa,Durango,3,Guadalupe Victoria,I-315
60-76,Salum del Palacio Jorge Alejandro,pan,Mayoría Relativa,Durango,4,Durango,J-338
60-77,Murillo Flores Francisco Javier,pan,Mayoría Relativa,Guanajuato,1,San Luis de la Paz,E-138
60-1,Armendáriz García Pedro,pan,Mayoría Relativa,Aguascalientes,1,Jesús María,L-432
60-151,Enríquez Flores Armando,pan,Mayoría Relativa,México,26,Toluca,F-165
60-152,Maawad Robert Luis Xavier,pan,Mayoría Relativa,México,27,Metepec,E-128
60-153,Muñoz Serna Rogelio,pri,Mayoría Relativa,México,28,Zumpango,M-487
60-154,Ulloa Pérez Emilio,prd,Mayoría Relativa,México,29,Nezahualcóyolt,F-194
60-155,Bautista Bravo Alliet Mariana,prd,Mayoría Relativa,México,30,Nezahualcóyotl,D-112
60-156,De la Rosa García Juan Hugo,prd,Mayoría Relativa,México,31,Nezahualcóyolt,D-113
60-252,Félix Holguín Armando Jesús,pan,Mayoría Relativa,Sonora,6,Cd. Obregón,D-094
60-158,Espejel Lazcano Jaime,prd,Mayoría Relativa,México,33,Chalco,E-146
60-357,Del Toro del Villar Tomás,pan,Representación proporcional,México,5,,D-091
60-251,Rodríguez Ahumada Luis Fernando,pan,Mayoría Relativa,Sonora,5,Hermosillo,K-372
60-393,López Ramírez Sergio Augusto,pvem,Representación proporcional,Aguascalientes,2,,F-180
60-479,Cárdenas Márquez Elías,conv,Representación proporcional,México,5,,D-102
60-478,Ojeda Hernández Concepción,prd,Representación proporcional,Michoacán,5,,I-323
60-473,Hernández Manzanares Javier,prd,Representación proporcional,México,5,,E-147
60-472,Sánchez Jiménez V. Luis,prd,Representación proporcional,México,5,,I-324
60-471,Jacques y Medina José,prd,Representación proporcional,Distrito Federal,4,,E-148
60-470,Sánchez Camacho David,prd,Representación proporcional,Distrito Federal,4,,L-456
60-477,Samperio Montaño Juan Ignacio,conv,Representación proporcional,México,5,,C-069
60-476,Soriano Sánchez Rosa Elva,prd,Representación proporcional,Michoacán,5,,J-361
60-475,Vela González Joaquín Humberto,pt,Representación proporcional,México,5,,C-081
60-354,Lujano Nicolás Christian Martín,pan,Representación proporcional,Distrito Federal,4,,G-211
60-788,Ortega Tzitzihua María Dolores Lucía,pri,Mayoría Relativa,Veracruz,18,,I-310
60-150,López Rojas Alberto,prd,Mayoría Relativa,México,25,Chimalhuacán,E-151
60-390,Bernal Gutiérrez Andrés Marco Antonio,pri,Representación proporcional,Tamaulipas,2,,M-491
60-27,Díaz Solorzano Elmar Darinel,pri,Mayoría Relativa,Chiapas,3,Ocosingo,L-449
60-26,Ortiz Del Carpio Víctor,pri,Mayoría Relativa,Chiapas,2,Bochil,L-452
60-25,Gebhardt Garduza Yary del Carmen,pri,Mayoría Relativa,Chiapas,1,Palenque,L-450
60-24,Ochoa López Nabor,,Mayoría Relativa,Colima,2,Manzanillo,K-381
60-23,Cárdenas Sánchez Esmeralda,pan,Mayoría Relativa,Colima,1,Colima,C-060
60-22,Mohamar Dainitin Oscar Miguel,pan,Mayoría Relativa,Coahuila,7,Saltillo,E-131
60-21,De León Tello Jesús,pan,Mayoría Relativa,Coahuila,6,Torreón,J-342
60-20,Bracho González Carlos Augusto,pan,Mayoría Relativa,Coahuila,5,Torreón,G-218
60-629,Galván Rivas Erika,pan,Mayoría Relativa,México,4,,K-374
60-29,Lescieur Talavera Jorge Mario,pri,Mayoría Relativa,Chiapas,5,San Cristóbal de las Casas,M-490
60-28,Carballo Bustamante Andrés,pri,Mayoría Relativa,Chiapas,4,Ocozocoautla de Espinosa,L-448
60-451,Almazán González José Antonio,prd,Representación proporcional,Veracruz,3,,F-197
60-450,Condado Escamilla Cuitlahuac,prd,Representación proporcional,Veracruz,3,,F-199
60-6,Ramos Covarrubias Héctor Manuel,pan,Mayoría Relativa,Baja California,3,Ensenada,H-252
60-452,López Lena Cruz Humberto,,Representación proporcional,Oaxaca,3,,L-428
60-455,Zazueta Aguilar Jesús Humberto,prd,Representación proporcional,Guerrero,4,,I-329
60-902,Peraza  Valdéz Ismael,pri,Representación proporcional,Yucatán,3,,J-359
60-457,Sandoval Ramírez Cuauhtémoc,prd,Representación proporcional,Guerrero,4,,H-277
60-456,Garzón Contreras Neftalí,prd,Representación proporcional,Puebla,4,,A-017
60-459,Chanona Burguete Alejandro,conv,Representación proporcional,Distrito Federal,4,,D-103
60-458,Díaz Contreras Adriana,prd,Representación proporcional,Morelos,4,,A-018
60-269,Escobar Jardinez Adolfo,pan,Mayoría Relativa,Tlaxcala,2,Tlaxcala,B-030
60-8,Valladolid Rodríguez Antonio,pan,Mayoría Relativa,Baja California,5,Tijuana,H-257
60-9,Enríquez Martínez Luis Rodolfo,pan,Mayoría Relativa,Baja California,6,Tijuana,I-297
60-259,Fernández Balboa Mónica,prd,Mayoría Relativa,Tabasco,6,Centro,B-048
60-424,Guerrero Rubio Pilar,pvem,Representación proporcional,México,5,,H-260
60-425,Sosa Castelán Gerardo,pri,Representación proporcional,Hidalgo,5,,H-264
60-426,Navarro Quintero Miguel Ángel,prd,Representación proporcional,Nayarit,1,,I-326
60-427,Aguilar Jiménez Rubén,pt,Representación proporcional,Chihuahua,1,,A-024
60-420,Notholt Guerrero Alan,pvem,Representación proporcional,México,5,,I-304
60-421,González Calderón Martha Hilda,pri,Representación proporcional,México,5,,P-504
60-299,Cárdenas Hernández Raymundo,prd,Mayoría Relativa,Zacatecas,3,Zacatecas,H-282
60-298,Bermúdez Viramontes Andrés,pan,Mayoría Relativa,Zacatecas,2,Jerez,F-174
60-297,Monreal Ávila Susana,prd,Mayoría Relativa,Zacatecas,1,Fresnillo,A-022
60-296,Escaroz Soler Gerardo Antonio,pan,Mayoría Relativa,Yucatán,5,Ticul,E-127
60-295,Ramírez Pech Edgar Martín,pan,Mayoría Relativa,Yucatán,4,Mérida,E-120
60-294,Castro Romero Ma. Sofía Del Perpetuo Socorro,pan,Mayoría Relativa,Yucatán,3,Mérida,C-051
60-293,Blanco Pajón José Luis,pri,Mayoría Relativa,Yucatán,2,Progreso,H-270
60-292,Díaz Mena Joaquín Jesús,pan,Mayoría Relativa,Yucatán,1,Valladolid,J-337
60-291,Lemarroy Martínez Juan Darío,prd,Mayoría Relativa,Veracruz,21,Cosoleacaque,F-200
60-359,Sandoval Munguía Juan Manuel,pan,Representación proporcional,México,5,,K-387
60-194,Salas López Ramón,pri,Mayoría Relativa,Nuevo León,9,Linares,M-474
60-195,Villanueva Arjona Juan Manuel,pan,Mayoría Relativa,Nuevo León,10,Monterrey,M-465
60-196,Rivera Bedoya Juan Francisco,pri,Mayoría Relativa,Nuevo León,11,Guadalupe,M-476
60-352,Dávila Fernández Adriana,pan,Representación proporcional,Tlaxcala,4,,L-418
60-190,Caballero Camargo Gustavo Fernando,pri,Mayoría Relativa,Nuevo León,5,Monterrey,M-475
60-191,Barrios Rodríguez Juan Enrique,pan,Mayoría Relativa,Nuevo León,6,Monterrey,J-330
60-192,Castaño Contreras Cristián,pan,Mayoría Relativa,Nuevo León,7,Monterrey,C-054
60-193,Zambrano Elizondo Javier Martín,pan,Mayoría Relativa,Nuevo León,8,Guadalupe,H-244
60-198,Dehesa Mora Daniel,prd,Mayoría Relativa,Oaxaca,1,San Juan Bautista Tuxtepec,G-238
60-199,Villanueva Abraján Patricia,pri,Mayoría Relativa,Oaxaca,2,Teotitlán de Flores Magón,L-436
60-997,Shej Guzmán Sara,pan,Representación proporcional,Tamaulipas,2,,B-028
60-992,Pérez Bolaños Ana Elisa,na,Representación proporcional,Distrito Federal,4,,D-099
60-353,Arizmendi Uribe Efraín,pan,Representación proporcional,Guerrero,4,,C-053
60-178,Iragorri Durán Enrique,pan,Mayoría Relativa,Morelos,1,Cuernavaca,E-134
60-304,Maldonado González David,pan,Representación proporcional,Baja California,1,,I-296
60-176,Márquez Tinoco Francisco,prd,Mayoría Relativa,Michoacán,11,Pátzcuaro,I-320
60-177,Mendoza Mendoza Irineo,prd,Mayoría Relativa,Michoacán,12,Apatzingán,I-322
60-174,Mendoza Maldonado Fausto Fluvio,prd,Mayoría Relativa,Michoacán,9,Uruapán,I-321
60-175,Espinosa Piña José Luis,pan,Mayoría Relativa,Michoacán,10,Morelia,P-503
60-172,Alonso Razo Humberto Wilfrido,prd,Mayoría Relativa,Michoacán,7,Zacapú,J-362
60-678,Utrilla Nieto Olivia Verónica,pan,Mayoría Relativa,Morelos,1,,E-134
60-170,Ceja Romero Ramón,pan,Mayoría Relativa,Michoacán,5,Zamora,M-466
60-171,Ríos Gamboa Raúl,prd,Mayoría Relativa,Michoacán,6,Hidalgo,J-360
60-639,Martínez Vázquez María del Refugio,pan,Mayoría Relativa,México,14,,B-031
60-2,Ruiz Velasco de Lira Ernesto,pan,Mayoría Relativa,Aguascalientes,2,Aguascalientes,A-005
60-350,Vieyra Olivares Adriana Rebeca,pan,Representación proporcional,Morelos,4,,G-215
60-204,Toledo Luis Jorge,pri,Mayoría Relativa,Oaxaca,7,Juchitán de Zaragoza,L-435
60-53,Barreiro Pérez Armando,prd,Mayoría Relativa,Distrito Federal,8,Cuauhtémoc,J-369
60-50,Contreras Julián Maricela,prd,Mayoría Relativa,Distrito Federal,5,Tlalpan,M-499
60-51,Torres Baltazar María Elena,prd,Mayoría Relativa,Distrito Federal,6,Gustavo A. Madero,M-497
60-56,García Rodríguez Víctor Hugo,prd,Mayoría Relativa,Distrito Federal,11,Venustiano Carranza,K-409
60-201,Martínez Martínez Carlos Roberto,prd,Mayoría Relativa,Oaxaca,4,Tlacolula de Matamoros,G-241
60-202,Altamirano Toledo Carlos,prd,Mayoría Relativa,Oaxaca,5,Santo Domingo Tehuantepec,G-235
60-55,González Martínez María Gabriela,pan,Mayoría Relativa,Distrito Federal,10,Miguel Hidalgo,J-341
60-681,Rodríguez Martínez Alicia,pri,Mayoría Relativa,Morelos,4,,G-228
60-58,Trejo Pérez Pablo,prd,Mayoría Relativa,Distrito Federal,13,Iztacalco,M-498
60-683,Partida  Guzmán Martha Rocío,pri,Mayoría Relativa,Nayarit,1,,G-230
60-208,De los Santos Molina Joaquín Conrado,prd,Mayoría Relativa,Oaxaca,11,Santiago Pinotepa Nacional,G-237
60-209,Amador Leal Alberto,pri,Mayoría Relativa,Puebla,1,Huauchinango,K-392
60-687,De la Garza Treviño Jorge Luis,pri,Mayoría Relativa,Nuevo León,2,,M-477
60-355,González Roaro Benjamín Ernesto,pan,Representación proporcional,Distrito Federal,4,,G-210
60-423,Velasco Pérez Juan Carlos,pri,Representación proporcional,Michoacán,5,,F-183
60-739,Ramírez Ruiz Carlos,pri,Mayoría Relativa,Sinaloa,1,,M-484
60-345,Priego Tapia Gerardo,pan,Representación proporcional,Tabasco,3,,A-007
60-334,Dávila  García Francisco,pan,Representación proporcional,Aguascalientes,2,,J-344
60-138,Alva Olvera Maribel Luisa,prd,Mayoría Relativa,México,13,Ecatepec de Morelos,D-110
60-139,Madrazo Limón Carlos,pan,Mayoría Relativa,México,14,Atizapán de Zaragoza,B-031
60-853,Alanís Domínguez Martía Teresa,pan,Representación proporcional,Guerrero,4,,C-053
60-335,Martínez Valero Dora Alicia,pan,Representación proporcional,Coahuila,2,,H-254
60-132,Arredondo Ibarra Salvador,pan,Mayoría Relativa,México,7,Cuautitlán Izcalli,E-135
60-133,Martínez Martínez Francisco,prd,Mayoría Relativa,México,8,Tultitlán,E-153
60-130,Saavedra Coronel José Antonio,prd,Mayoría Relativa,México,5,Teotihuacán,F-191
60-131,López Becerra Santiago,prd,Mayoría Relativa,México,6,Coacalco de Berriozabal,E-150
60-136,Ruiz Sánchez Salvador,prd,Mayoría Relativa,México,11,Ecatepec de Morelos,F-190
60-137,Ramos Becerril Rafael Plácido,conv,Mayoría Relativa,México,12,Ixtapaluca,C-070
60-134,Gómez Lugo Elda,pri,Mayoría Relativa,México,9,Ixtlahuaca,M-488
60-135,Martínez Vargas Octavio,prd,Mayoría Relativa,México,10,Ecatepec de Morelos,E-155
60-89,Lemus Muñoz Ledo Ramón Ignacio,pan,Mayoría Relativa,Guanajuato,13,Valle de Santiago,M-470
60-88,López Silva Rubí Laura,pan,Mayoría Relativa,Guanajuato,12,Celaya,G-206
60-336,Buganza Salmerón Gerardo,pan,Representación proporcional,Veracruz,3,,C-055
60-337,Díaz Gordillo Martha Cecilia,pan,Representación proporcional,Chiapas,3,,F-171
60-239,Peñuelas Acuña Mayra Gisela,pri,Mayoría Relativa,Sinaloa,1,El Fuerte,M-484
60-331,Díaz de León Torres Leticia,pan,Representación proporcional,San Luis Potosí,2,,F-162
60-332,Arredondo Velázquez Jesús,pan,Representación proporcional,Querétaro,2,,J-336
60-344,González Betancourt Jorge Justiniano,pan,Representación proporcional,Chiapas,3,,L-421
60-81,Ramírez Barba Ector Jaime,pan,Mayoría Relativa,Guanajuato,5,León,L-419
60-80,Arenas Guzmán Margarita,pan,Mayoría Relativa,Guanajuato,4,Guanajuato,G-502
60-83,Verdín Saldaña Jaime,pan,Mayoría Relativa,Guanajuato,7,San Francisco del Rincón,L-429
60-82,Rodríguez Vizcarra Velázquez Adriana,pan,Mayoría Relativa,Guanajuato,6,León,M-469
60-85,Cuen Garibi Marcela,pan,Mayoría Relativa,Guanajuato,9,Irapuato,H-243
60-84,Vega Corona Antonio,pan,Mayoría Relativa,Guanajuato,8,Salamanca,B-026
60-87,Landeros González Ramón,pan,Mayoría Relativa,Guanajuato,11,Pénjamo,M-511
60-86,Torres Gómez Artemio,pan,Mayoría Relativa,Guanajuato,10,Uriangato,H-258
60-820,Fernández Ugarte Ma. del Carmen,pan,Representación proporcional,Coahuila,2,,K-382
60-35,Herrera Solís Anuario Luis,pt,Mayoría Relativa,Chiapas,11,Huixtla,B-050
60-822,Cortés Osornio Luz Virginia,pan,Representación proporcional,Querétaro,2,,A-011
60-37,Serrano Escobar Enrique,pri,Mayoría Relativa,Chihuahua,1,Ciudad Juárez,K-403
60-30,Narcía Álvarez Héctor,prd,Mayoría Relativa,Chiapas,6,Tuxtla Gutiérrez,C-075
60-825,Caballero Chávez Claudia Gabriela,pan,Representación proporcional,Nuevo León,2,,L-423
60-32,Cordero Alfonzo Arnulfo Elías,pri,Mayoría Relativa,Chiapas,8,Comitán de Domínguez,L-451
60-215,Contreras Coeto José Luis,pan,Mayoría Relativa,Puebla,7,Tepeaca,J-331
60-828,Argüelles Arellano María del Consuelo,pan,Representación proporcional,Zacatecas,2,,E-119
60-236,García Reyes Beatriz Eugenia,pan,Mayoría Relativa,San Luis Potosí,5,San Luis Potosí,E-126
60-333,Magallón Arceo Leonardo Melesio de J.,pan,Representación proporcional,Guanajuato,2,,I-299
60-38,Merodio Reza Lilia Guadalupe,pri,Mayoría Relativa,Chihuahua,2,Ciudad Juárez,K-400
60-39,Pérez Cuéllar Cruz,pan,Mayoría Relativa,Chihuahua,3,Ciudad Juárez,F-176
60-235,Lara Compeán David,pan,Mayoría Relativa,San Luis Potosí,4,Ciudad Valles,J-335
60-95,Aguirre Alcaide Victor,prd,Mayoría Relativa,Guerrero,5,Tlapa de Comonfort,G-231
60-347,Noriega Blanco Vigil Ma. Elena de las N.,pan,Representación proporcional,Distrito Federal,4,,J-509
60-234,Rodríguez Uresti Enrique,pan,Mayoría Relativa,San Luis Potosí,3,Ríoverde,H-242
60-238,Rivera Rivera José Guadalupe,pan,Mayoría Relativa,San Luis Potosí,7,Tamazunchale,J-334
60-237,Degante Romero Silvia Emilia,pan,Mayoría Relativa,San Luis Potosí,6,San Luis Potosí,B-032
60-418,Velasco Rodríguez Verónica,pvem,Representación proporcional,México,5,,I-305
60-437,Aguilera Rico José Luis,conv,Representación proporcional,Querétaro,2,,E-143
60-436,Solís Parga Rodolfo,pt,Representación proporcional,Guanajuato,2,,E-160
60-435,Ortega Martínez Antonio,prd,Representación proporcional,Aguascalientes,2,,F-196
60-434,Cantú Garza Ricardo,pt,Representación proporcional,Nuevo León,2,,D-118
60-433,López Torres Ma. Soledad,prd,Representación proporcional,Guanajuato,2,,B-043
60-432,Navarro López Carlos Ernesto,prd,Representación proporcional,Sonora,1,,B-042
60-431,Bravo Padilla Itzcóatl Tonatiuh,prd,Representación proporcional,Jalisco,1,,I-325
60-346,Fernández Cabrera Adrián,pan,Representación proporcional,Distrito Federal,4,,D-087
60-349,Díaz García José Antonio,pan,Representación proporcional,Puebla,4,,B-033
60-348,Fraile García Francisco Antonio,pan,Representación proporcional,Puebla,4,,I-291
60-453,Landero López Pedro,prd,Representación proporcional,Tabasco,3,,C-076
60-439,Márquez Madrid Camerino Eleazar,prd,Representación proporcional,Zacatecas,2,,A-021
60-438,Cervantes Rodríguez Aurora,prd,Representación proporcional,Zacatecas,2,,A-020
60-187,Medina De la Cruz Rodrigo,pri,Mayoría Relativa,Nuevo León,2,Apodaca,M-477
60-186,García Müller Martha Margarita,pan,Mayoría Relativa,Nuevo León,1,Santa Catarina,A-006
60-185,Sandoval Paredes Sergio,pri,Mayoría Relativa,Nayarit,3,Compostela,G-229
60-184,Jiménez Valenzuela María Eugenia,,Mayoría Relativa,Nayarit,2,Tepic,P-501
60-183,González García Sergio,pri,Mayoría Relativa,Nayarit,1,Santiago Ixcuintla,G-230
60-182,Sánchez Trujillo José Víctor,pan,Mayoría Relativa,Morelos,5,Yautepec,K-386
60-181,Orihuela Trejo José Amado,pri,Mayoría Relativa,Morelos,4,Jojutla,G-228
60-180,Franco Melgarejo Rafael,prd,Mayoría Relativa,Morelos,3,Cuautla,A-019
60-232,Medellín Varela Antonio,pan,Mayoría Relativa,San Luis Potosí,1,Matehuala,M-461
60-189,Ramírez Villarreal Gustavo,pan,Mayoría Relativa,Nuevo León,4,San Nicólas de los Garza,D-095
60-188,Murillo Torres José Luis,pan,Mayoría Relativa,Nuevo León,3,Gral. Escobedo,G-204
60-34,Ramos Castellanos Martín,prd,Mayoría Relativa,Chiapas,10,Villaflores,D-106
60-647,Reyes García María Isabel,pan,Mayoría Relativa,México,22,,E-123
60-230,Espinosa Abuxapqui Eduardo Elías,pri,Mayoría Relativa,Quintana Roo,2,Othón P. Blanco,K-389
60-159,González Morán Martín Oscar,pan,Mayoría Relativa,México,34,Toluca,J-339
60-3,Medina Macias Alma Hilda,pan,Mayoría Relativa,Aguascalientes,3,Aguascalientes,L-431
60-36,Díaz Athié Antonio de Jesús,pri,Mayoría Relativa,Chiapas,12,Tapachula,L-446
60-723,Ortiz Montoro Sagrario María del Rosario,pan,Mayoría Relativa,Puebla,15,,G-214
60-893,Manrique Guevara Beatriz,pvem,Representación proporcional,Guanajuato,2,,F-180
60-720,Perroni Merino Gloria María,pan,Mayoría Relativa,Puebla,12,,E-130
60-726,Rodríguez Montes Bibiana,pan,Mayoría Relativa,Querétaro,2,,L-427
60-724,López  Balbuena Guillermina,pri,Mayoría Relativa,Puebla,16,,K-391
60-888,González Macías Jesús,pvem,Representación proporcional,Tamaulipas,2,,F-178
60-898,Ferrat  Mancera Alain,pvem,Representación proporcional,Veracruz,3,,H-261
60-643,Franco Valencia Mario,pan,Mayoría Relativa,México,18,,K-378
60-31,Gálvez Rodríguez Fernel Arturo,prd,Mayoría Relativa,Chiapas,7,Tonalá,C-072
60-327,Verástegui Ostos César Augusto,pan,Representación proporcional,Tamaulipas,2,,M-467
60-794,Antuña Batista (Sale de funciones) Fidel,pan,Mayoría Relativa,Yucatán,3,,C-051
60-795,Rodríguez Sabido Dolores del Socorro,pan,Mayoría Relativa,Yucatán,4,,E-120
60-792,Alcocer y Gazca Teresa de Jesús,pan,Mayoría Relativa,Yucatán,1,,J-337
60-659,Macedo Domínguez María Magdalena,pan,Mayoría Relativa,México,34,,J-339
60-326,Flores Morfín Jesús Vicente,pan,Representación proporcional,Coahuila,2,,J-345
60-655,Flores Castañeda Petra,prd,Mayoría Relativa,México,30,,D-112
60-654,Rojas Carmona Sergio,prd,Mayoría Relativa,México,29,,F-194
60-652,Ortiz Martínez de Kores Gabriela,pan,Mayoría Relativa,México,27,,D-083
60-798,Bernal Frausto Federico,pan,Mayoría Relativa,Zacatecas,2,,F-174
60-650,Pérez Sánchez Heriberto,prd,Mayoría Relativa,México,25,,E-151
60-312,Mendoza Morales Lucía Susana,pan,Representación proporcional,Jalisco,1,,H-246
60-313,Torres Torres Carlos Alberto,pan,Representación proporcional,Baja California,1,,I-295
60-310,Medina Rodríguez Delber,pan,Representación proporcional,Nayarit,1,,H-256
60-311,Aranda Orozco Gerardo,pan,Representación proporcional,Sonora,1,,E-125
60-316,Salazar Madera Mario Alberto,pan,Representación proporcional,Jalisco,1,,B-027
60-317,Valenzuela  García María Gloria Guadalupe,pan,Representación proporcional,Sinaloa,1,,G-208
60-314,Corral Aguilar María Mercedes,pan,Representación proporcional,Sonora,1,,I-303
60-315,Campos Galván María Eugenia,pan,Representación proporcional,Chihuahua,1,,A-009
60-253,Mendívil Amparán Gustavo Ildefonso,pri,Mayoría Relativa,Sonora,7,Navojoa,J-349
60-113,Sánchez Gil Carlos René,pan,Mayoría Relativa,Jalisco,7,Tonalá,F-170
60-318,González Sánchez Ma. Dolores,pan,Representación proporcional,Zacatecas,2,,H-250
60-250,Zatarain González Carlos Ernesto,pri,Mayoría Relativa,Sonora,4,Guaymas,J-348
60-257,Mayans Canabal Fernando Enrique,prd,Mayoría Relativa,Tabasco,4,Centro,K-407
60-256,Dagdug Lützow Moisés Félix,prd,Mayoría Relativa,Tabasco,3,Comalcalco,B-047
60-255,Sánchez Ramos Francisco,prd,Mayoría Relativa,Tabasco,2,Cárdenas,C-079
60-254,Sánchez Cabrales Rafael Elías,prd,Mayoría Relativa,Tabasco,1,Macuspana,C-078
60-356,Bolaños Aguilar Edmundo Javier,pan,Representación proporcional,Morelos,4,,H-255
60-18,Rivero Rivero Rolando,pan,Mayoría Relativa,Coahuila,3,Monclova,L-425
60-19,Abramo Masso Yerico,pri,Mayoría Relativa,Coahuila,4,Saltillo,H-271
60-16,García Reyes Ángel Humberto,pan,Mayoría Relativa,Coahuila,1,Piedras Negras,B-037
60-17,Guerrero García Javier,pri,Mayoría Relativa,Coahuila,2,San Pedro,H-272
60-14,Méndez Lanz Víctor Manuel,pri,Mayoría Relativa,Campeche,1,Campeche,F-184
60-15,Martínez Rocha Arturo,pri,Mayoría Relativa,Campeche,2,Ciudad del Carmen,J-358
60-12,Orcí Martínez Juan Adolfo,prd,Mayoría Relativa,Baja California Sur,1,Mulege,B-045
60-13,Lizárraga Peraza Víctor Manuel,prd,Mayoría Relativa,Baja California Sur,2,La Paz,B-044
60-10,Paredes Rodríguez Francisco Javier,pan,Mayoría Relativa,Baja California,7,Mexicali,K-385
60-11,Rincón Vargas Mirna Cecilia,pan,Mayoría Relativa,Baja California,8,Tijuana,C-061
60-488,Gómez Pasillas Jacinto,na,Representación proporcional,Chihuahua,1,,D-096
60-489,Dávila  Esquivel Humberto,na,Representación proporcional,Coahuila,2,,D-097
60-482,Pedraza Chávez Isidro,prd,Representación proporcional,Hidalgo,5,,D-108
60-483,López Barriga  Erick,prd,Representación proporcional,Michoacán,5,,I-319
60-480,Hernández Valadés Delio,psd,Representación proporcional,Colima,5,,B-041
60-481,Valdés Chávez Ramón,conv,Representación proporcional,México,5,,E-141
60-486,García Méndez Armando,psd,Representación proporcional,México,5,,A-016
60-487,Cárdenas Fonseca Manuel,na,Representación proporcional,Sinaloa,1,,D-098
60-484,Arellano Pulido Miguel Ángel,prd,Representación proporcional,Michoacán,5,,I-318
60-485,Garay Ulloa Silvano,pt,Representación proporcional,México,5,,A-023
60-419,Reyna García José Jesús,pri,Representación proporcional,Michoacán,5,,L-434
