vote_event_id,voter_id,option,group_id
51-692.TX,51-513,yes,ppb
51-692.TX,51-405,yes,pmdb
51-692.TX,51-113,yes,pmdb
51-692.TX,51-219,yes,pfl
51-692.TX,51-392,yes,ppb
51-692.TX,51-319,no,psl
51-692.TX,51-393,no,pl
51-692.TX,51-40,no,pcdob
51-692.TX,51-35,yes,pfl
51-692.TX,51-107,yes,psdb
51-692.TX,51-483,yes,psdb
51-692.TX,51-430,yes,pfl
51-692.TX,51-264,yes,pt
51-692.TX,51-326,no,pdt
51-692.TX,51-594,yes,pmdb
51-692.TX,51-396,yes,ppb
51-692.TX,51-439,yes,pmdb
51-692.TX,51-217,yes,pt
51-692.TX,51-267,yes,ptb
51-692.TX,51-218,yes,pt
51-692.TX,51-328,no,psb
51-692.TX,51-116,yes,pt
51-692.TX,51-469,yes,pfl
51-692.TX,51-404,yes,psdb
51-692.TX,51-609,no,pdt
51-692.TX,51-397,yes,psdb
51-692.TX,51-516,yes,psdb
51-692.TX,51-535,yes,pfl
51-692.TX,51-398,yes,pmdb
51-692.TX,51-34,yes,psdb
51-692.TX,51-269,yes,pfl
51-692.TX,51-540,yes,psdb
51-692.TX,51-486,absent,pt
51-692.TX,51-529,absent,psb
51-692.TX,51-284,absent,psb
51-692.TX,51-119,absent,pmdb
51-692.TX,51-173,absent,psdb
51-692.TX,51-21,absent,pt
51-692.TX,51-476,absent,pt
51-692.TX,51-494,absent,pmdb
51-692.TX,51-573,absent,pfl
51-692.TX,51-93,absent,psdb
51-692.TX,51-176,absent,ppb
51-692.TX,51-606,absent,pt
51-692.TX,51-291,absent,pl
51-692.TX,51-71,absent,pfl
51-692.TX,51-346,absent,ppb
51-692.TX,51-598,absent,pst
51-692.TX,51-301,absent,pst
51-692.TX,51-95,absent,pmdb
51-692.TX,51-295,absent,ppb
51-692.TX,51-48,absent,psdb
51-692.TX,51-74,absent,pfl
51-692.TX,51-3,absent,pfl
51-692.TX,51-193,absent,pmdb
51-692.TX,51-408,absent,pt
51-692.TX,51-497,absent,pmdb
51-692.TX,51-185,absent,pfl
51-692.TX,51-237,absent,pmdb
51-692.TX,51-123,absent,pmdb
51-692.TX,51-472,absent,ppb
51-692.TX,51-581,absent,psdb
51-692.TX,51-303,absent,pcdob
51-692.TX,51-146,absent,psdb
51-692.TX,51-239,absent,pmdb
51-692.TX,51-474,absent,ppb
51-692.TX,51-538,absent,pfl
51-692.TX,51-557,absent,psl
51-692.TX,51-363,absent,psdb
51-692.TX,51-451,absent,pmdb
51-692.TX,51-202,absent,pfl
51-692.TX,51-366,absent,ptn
51-692.TX,51-365,absent,pt
51-692.TX,51-577,absent,pfl
51-692.TX,51-452,absent,ppb
51-692.TX,51-149,absent,pfl
51-692.TX,51-27,absent,pmdb
51-692.TX,51-178,absent,psdb
51-692.TX,51-419,absent,psdb
51-692.TX,51-245,absent,pfl
51-692.TX,51-420,absent,psdb
51-692.TX,51-401,absent,psdb
51-692.TX,51-421,absent,psdb
51-692.TX,51-5,absent,pfl
51-692.TX,51-312,absent,ppb
51-692.TX,51-602,absent,pt
51-692.TX,51-277,absent,pl
51-692.TX,51-584,absent,pt
51-692.TX,51-315,absent,psdb
51-692.TX,51-136,absent,pfl
51-692.TX,51-372,absent,pfl
51-692.TX,51-161,absent,pl
